timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674297092370,1107,/list-product,200,OK,Distributed Load Test 1-96,text,true,,19163,179,2,2,https://api-staging-builder.engineer.ai/configurations,853,0,546
1674297093478,329,/list-merchant,200,OK,Distributed Load Test 1-96,text,true,,19162,179,2,2,https://api-staging-builder.engineer.ai/configurations,314,0,0
1674297093808,320,/detail-product,200,OK,Distributed Load Test 1-96,text,true,,19163,179,2,2,https://api-staging-builder.engineer.ai/configurations,303,0,0
1674297093369,1081,/topup,200,OK,Distributed Load Test 1-97,text,true,,19156,179,2,2,https://api-staging-builder.engineer.ai/configurations,824,0,519
1674297094129,336,/promo,200,OK,Distributed Load Test 1-96,text,true,,19163,179,2,2,https://api-staging-builder.engineer.ai/configurations,321,0,0
1674297094466,306,/review-product,200,OK,Distributed Load Test 1-96,text,true,,19163,179,2,2,https://api-staging-builder.engineer.ai/configurations,293,0,0
1674297094451,337,/dicovery-diskon,200,OK,Distributed Load Test 1-97,text,true,,19163,179,2,2,https://api-staging-builder.engineer.ai/configurations,321,0,0
1674297094788,301,/dicovery-personalized-ads,200,OK,Distributed Load Test 1-97,text,true,,19156,179,2,2,https://api-staging-builder.engineer.ai/configurations,297,0,0
1674297094773,335,/discussion,200,OK,Distributed Load Test 1-96,text,true,,19163,179,2,2,https://api-staging-builder.engineer.ai/configurations,317,0,0
1674297095108,300,/merchant/product,200,OK,Distributed Load Test 1-96,text,true,,19163,179,3,3,https://api-staging-builder.engineer.ai/configurations,298,0,0
1674297095089,339,/official-store,200,OK,Distributed Load Test 1-97,text,true,,19163,179,2,2,https://api-staging-builder.engineer.ai/configurations,321,0,0
1674297095369,1137,/topup,200,OK,Distributed Load Test 1-99,text,true,,19162,179,1,1,https://api-staging-builder.engineer.ai/configurations,880,0,531
1674297096507,321,/dicovery-diskon,200,OK,Distributed Load Test 1-99,text,true,,19163,179,1,1,https://api-staging-builder.engineer.ai/configurations,302,0,0
1674297096829,339,/dicovery-personalized-ads,200,OK,Distributed Load Test 1-99,text,true,,19163,179,1,1,https://api-staging-builder.engineer.ai/configurations,324,0,0
1674297097168,360,/official-store,200,OK,Distributed Load Test 1-99,text,true,,19163,179,1,1,https://api-staging-builder.engineer.ai/configurations,345,0,0
1674297097529,338,/list-product,200,OK,Distributed Load Test 1-99,text,true,,19163,179,1,1,https://api-staging-builder.engineer.ai/configurations,323,0,0
1674297097867,311,/list-merchant,200,OK,Distributed Load Test 1-99,text,true,,19163,179,1,1,https://api-staging-builder.engineer.ai/configurations,299,0,0
1674297098179,351,/detail-product,200,OK,Distributed Load Test 1-99,text,true,,19163,179,1,1,https://api-staging-builder.engineer.ai/configurations,328,0,0
1674297098531,316,/promo,200,OK,Distributed Load Test 1-99,text,true,,19163,179,1,1,https://api-staging-builder.engineer.ai/configurations,297,0,0
1674297098848,383,/review-product,200,OK,Distributed Load Test 1-99,text,true,,19163,179,1,1,https://api-staging-builder.engineer.ai/configurations,318,0,0
1674297099231,317,/discussion,200,OK,Distributed Load Test 1-99,text,true,,19163,179,1,1,https://api-staging-builder.engineer.ai/configurations,299,0,0
1674297099549,340,/merchant/product,200,OK,Distributed Load Test 1-99,text,true,,19162,179,1,1,https://api-staging-builder.engineer.ai/configurations,319,0,0
